case_id,activity,started_at,finished_at,duration_seconds,objects
case_47,SplitSheet,2025-01-31 02:31:14,2025-01-31 02:43:49,980,"['MA12', 'SplitSheet']"
case_48,SwitchPosition,2025-01-31 02:41:34,2025-01-31 02:51:19,1166,"['MA12', 'SwitchPosition']"
case_49,(Load),2025-01-31 03:00:09,2025-01-31 03:18:19,823,"['M1', '(Load)']"
case_50,(Load),2025-01-31 03:08:45,2025-01-31 03:23:45,604,"['S2', '(Load)']"
case_51,(Unload),2025-01-31 03:28:09,2025-01-31 03:35:53,461,"['S2', '(Unload)']"
case_52,(Unload),2025-01-31 03:45:50,2025-01-31 03:53:14,376,"['S1', '(Unload)']"
case_53,(Load),2025-01-31 03:52:03,2025-01-31 03:58:32,1164,"['S1', '(Load)']"
case_54,(Unload),2025-01-31 04:10:32,2025-01-31 04:29:19,1090,"['S3', '(Unload)']"
case_55,SplitSheet1,2025-01-31 04:30:05,2025-01-31 04:43:28,380,"['S2', 'SplitSheet1']"
case_56,SplitSheet1,2025-01-31 04:47:27,2025-01-31 05:01:42,309,"['S2', 'SplitSheet1']"
case_57,SplitSheet1,2025-01-31 05:00:02,2025-01-31 05:19:53,874,"['S4', 'SplitSheet1']"
case_58,SplitSheet1,2025-01-31 05:06:54,2025-01-31 05:21:03,575,"['S4', 'SplitSheet1']"
case_59,SplitSheet1,2025-01-31 05:16:10,2025-01-31 05:27:50,565,"['M2', 'SplitSheet1']"
case_60,(Load),2025-01-31 05:23:06,2025-01-31 05:34:02,602,"['MA1', '(Load)']"
case_61,(Load),2025-01-31 05:36:22,2025-01-31 05:53:49,819,"['MA12', '(Load)']"
case_62,HeatSheet,2025-01-31 05:53:57,2025-01-31 06:01:10,1189,"['M3', 'HeatSheet']"
case_63,HeatSheet,2025-01-31 06:08:13,2025-01-31 06:22:39,777,"['M2', 'HeatSheet']"
case_64,FormSheet,2025-01-31 06:25:51,2025-01-31 06:43:49,890,"['M4', 'FormSheet']"
case_65,FormSheet,2025-01-31 06:42:17,2025-01-31 07:00:32,303,"['M3', 'FormSheet']"
case_66,CutFemale,2025-01-31 07:01:16,2025-01-31 07:16:58,932,"['M7', 'CutFemale']"
case_67,CutFemale,2025-01-31 07:20:22,2025-01-31 07:38:45,1110,"['C2', 'CutFemale']"
case_68,CutMale,2025-01-31 07:29:17,2025-01-31 07:47:11,1133,"['C2', 'CutMale']"
case_69,CutMale,2025-01-31 07:47:29,2025-01-31 08:05:41,924,"['C1', 'CutMale']"
case_70,CutFemale,2025-01-31 08:00:18,2025-01-31 08:15:01,386,"['C1', 'CutFemale']"
case_71,CutMale,2025-01-31 08:17:35,2025-01-31 08:24:57,378,"['M6', 'CutMale']"
case_72,(UnBatch),2025-01-31 08:31:29,2025-01-31 08:40:26,485,"['M51', '(UnBatch)']"
case_73,(UnBatch),2025-01-31 08:42:18,2025-01-31 08:52:10,615,"['M51', '(UnBatch)']"
case_74,(UnBatch),2025-01-31 08:49:16,2025-01-31 09:05:43,1006,"['Cu1', '(UnBatch)']"
case_75,CutMale,2025-01-31 09:05:45,2025-01-31 09:16:23,774,"['Cu1', 'CutMale']"
case_76,CutFemale,2025-01-31 09:11:57,2025-01-31 09:22:19,918,"['Cu1', 'CutFemale']"
case_77,CheckMalePart,2025-01-31 09:23:07,2025-01-31 09:41:42,985,"['M6', 'CheckMalePart']"
case_78,CheckMalePart,2025-01-31 09:42:35,2025-01-31 10:02:22,408,"['M8', 'CheckMalePart']"
case_79,CheckFemalePart,2025-01-31 09:53:03,2025-01-31 10:08:50,657,"['M7', 'CheckFemalePart']"
case_80,CheckFemalePart,2025-01-31 10:06:33,2025-01-31 10:25:00,466,"['M9', 'CheckFemalePart']"
case_81,CheckFemalePart,2025-01-31 10:17:52,2025-01-31 10:28:07,965,"['H2', 'CheckFemalePart']"
case_82,CheckMalePart,2025-01-31 10:24:44,2025-01-31 10:42:08,1030,"['H1', 'CheckMalePart']"
case_83,CheckMalePart,2025-01-31 10:43:52,2025-01-31 10:51:40,583,"['MA3', 'CheckMalePart']"
case_84,CheckFemalePart,2025-01-31 11:00:15,2025-01-31 11:18:58,1153,"['MA3', 'CheckFemalePart']"
case_85,CheckFemalePart,2025-01-31 11:13:34,2025-01-31 11:24:38,1047,"['QueueF', 'CheckFemalePart']"
case_86,CheckFemalePart,2025-01-31 11:31:05,2025-01-31 11:47:39,473,"['QueueF', 'CheckFemalePart']"
case_87,CheckMalePart,2025-01-31 11:50:40,2025-01-31 12:06:12,775,"['QueuM', 'CheckMalePart']"
case_88,CheckMalePart,2025-01-31 12:08:31,2025-01-31 12:16:52,727,"['QueuM', 'CheckMalePart']"
case_89,Assemble,2025-01-31 12:14:20,2025-01-31 12:20:38,603,"['M10', 'Assemble']"
case_90,Assemble,2025-01-31 12:34:11,2025-01-31 12:47:55,318,"['M9', 'Assemble']"
case_91,Assemble,2025-01-31 12:44:29,2025-01-31 12:52:00,638,"['P5', 'Assemble']"
case_92,Assemble,2025-01-31 12:49:47,2025-01-31 13:08:44,511,"['M8', 'Assemble']"
case_93,Assemble,2025-01-31 13:01:15,2025-01-31 13:18:11,792,"['QuF', 'Assemble']"
case_94,Assemble,2025-01-31 13:08:19,2025-01-31 13:27:12,711,"['QuF', 'Assemble']"
case_95,Assemble,2025-01-31 13:21:40,2025-01-31 13:41:21,834,"['QuM', 'Assemble']"
case_96,Assemble,2025-01-31 13:41:31,2025-01-31 13:55:42,940,"['QuM', 'Assemble']"
case_97,PackHinges,2025-01-31 14:00:45,2025-01-31 14:06:54,556,"['P6', 'PackHinges']"
case_98,(Buffer),2025-01-31 14:13:54,2025-01-31 14:21:53,843,"['M10', '(Buffer)']"
case_99,(Buffer),2025-01-31 14:25:49,2025-01-31 14:39:05,1184,"['P1', '(Buffer)']"
case_100,PackHinges,2025-01-31 14:42:50,2025-01-31 15:01:47,1048,"['P1', 'PackHinges']"
case_101,PackHinges,2025-01-31 14:53:34,2025-01-31 15:02:00,790,"['P1', 'PackHinges']"
case_102,(Buffer),2025-01-31 15:09:54,2025-01-31 15:15:14,436,"['P1', '(Buffer)']"
case_103,PackHinges,2025-01-31 15:27:25,2025-01-31 15:37:29,402,['PackHinges']
case_104,PackHinges,2025-01-31 15:33:54,2025-01-31 15:42:34,972,['PackHinges']
case_105,StartDay,2025-01-31 15:40:42,2025-01-31 15:43:28,117,"['MA1', 'StartDay']"
case_106,StartDay,2025-01-31 15:42:19,2025-01-31 15:47:14,114,"['MA0', 'StartDay']"
case_107,GoToW2,2025-01-31 15:46:17,2025-01-31 16:03:59,875,"['MA3', 'GoToW2']"
case_108,GoToW2,2025-01-31 15:52:56,2025-01-31 16:10:57,917,"['MA23', 'GoToW2']"
case_109,WaitNextDay,2025-01-31 16:03:07,2025-01-31 16:21:21,1174,"['MA0', 'WaitNextDay']"
case_110,DoInits,2025-01-31 16:11:49,2025-01-31 16:31:08,679,"['MA12', 'DoInits']"
case_111,WaitNextDay,2025-01-31 16:22:24,2025-01-31 16:37:07,1019,"['MA3', 'WaitNextDay']"
case_112,GoToW2,2025-01-31 16:35:52,2025-01-31 16:41:18,492,"['Trig2', 'GoToW2']"
case_113,DoInits,2025-01-31 16:43:01,2025-01-31 16:50:58,914,"['MA3', 'DoInits']"
case_114,LunchTime,2025-01-31 16:55:29,2025-01-31 17:01:23,394,"['MA3', 'LunchTime']"
case_115,MoveParts,2025-01-31 17:10:48,2025-01-31 17:24:57,456,"['M51', 'MoveParts']"
case_116,MoveParts,2025-01-31 17:23:36,2025-01-31 17:38:49,748,"['M5', 'MoveParts']"
case_117,MoveParts,2025-01-31 17:39:27,2025-01-31 17:46:13,633,"['MA23', 'MoveParts']"
case_118,MoveParts,2025-01-31 17:57:32,2025-01-31 18:05:30,321,"['MA3', 'MoveParts']"
case_119,MoveParts,2025-01-31 18:10:02,2025-01-31 18:17:15,490,"['M5', 'MoveParts']"
case_120,(DelEmty),2025-01-31 18:24:10,2025-01-31 18:34:48,1061,"['M51', '(DelEmty)']"
case_121,CoatPart,2025-01-31 18:32:37,2025-01-31 18:41:54,617,"['M4', 'CoatPart']"
case_122,CoatPart,2025-01-31 18:52:03,2025-01-31 19:05:57,316,"['CP1', 'CoatPart']"
case_123,(BufferParts),2025-01-31 19:11:33,2025-01-31 19:26:15,1019,"['CP1', '(BufferParts)']"
case_124,(BufferParts),2025-01-31 19:16:49,2025-01-31 19:32:26,914,"['M5', '(BufferParts)']"
case_125,(BufferParts),2025-01-31 19:30:59,2025-01-31 19:44:56,1008,"['M5', '(BufferParts)']"
case_126,(BufferParts),2025-01-31 19:44:55,2025-01-31 19:50:04,919,"['Trigger2', '(BufferParts)']"
case_127,FormSteelSheet,2025-01-31 19:56:51,2025-01-31 20:06:56,953,"['Input', 'FormSteelSheet']"
case_128,FormSteelSheet,2025-01-31 20:13:21,2025-01-31 20:31:52,667,['FormSteelSheet']
